source_image,area,perimeter,eccentricity,mean_intensity,var_intensity,label
C100P61ThinF_IMG_20150918_144104_cell_162.png,16841.0,609.4802307403552,0.4071350405207642,0.5021561786366048,0.0838825494409292,parasitized
C100P61ThinF_IMG_20150918_144104_cell_163.png,14517.0,758.9188309203678,0.7154542858830594,0.4230470438626302,0.0972445931482246,parasitized
C100P61ThinF_IMG_20150918_144104_cell_164.png,16823.0,634.5929291125633,0.3544113063920955,0.5030577311901955,0.0836170439683356,parasitized
C100P61ThinF_IMG_20150918_144104_cell_165.png,14370.0,624.0071426749364,0.5900745591867289,0.4341152764125567,0.1047408049500456,parasitized
C100P61ThinF_IMG_20150918_144104_cell_166.png,15565.0,606.79393923934,0.6834838839771519,0.4743082622113851,0.098336740482587,parasitized
C100P61ThinF_IMG_20150918_144104_cell_167.png,15703.0,588.214249456123,0.5900402763745378,0.4613083506773382,0.090875274267908,parasitized
C100P61ThinF_IMG_20150918_144104_cell_168.png,16427.0,610.1076477383247,0.3251719434607057,0.4799024615344285,0.0836253490334828,parasitized
C100P61ThinF_IMG_20150918_144104_cell_169.png,16055.0,605.2792206135786,0.2901639437921012,0.4731213447882241,0.0870446519386817,parasitized
C100P61ThinF_IMG_20150918_144104_cell_170.png,15933.0,591.350288425444,0.2530951595225186,0.4761891517382042,0.0919195971673847,parasitized
C100P61ThinF_IMG_20150918_144104_cell_171.png,14974.0,638.8355697996826,0.2881394857048057,0.4364195740144066,0.094295984417091,parasitized
C100P61ThinF_IMG_20150918_144348_cell_138.png,15916.0,610.6639969244288,0.2356063883427429,0.4517141588691288,0.083144933020163,parasitized
C100P61ThinF_IMG_20150918_144348_cell_140.png,17087.0,605.5512985522207,0.4592407361886682,0.4878938717584158,0.0745412018312269,parasitized
C100P61ThinF_IMG_20150918_144348_cell_141.png,15125.0,612.7289680818844,0.555505450418217,0.4293971312679088,0.0874913700215647,parasitized
C100P61ThinF_IMG_20150918_144348_cell_142.png,15599.0,579.6223663640861,0.302547585164008,0.4615597277077337,0.0924395414142165,parasitized
C100P61ThinF_IMG_20150918_144348_cell_143.png,15750.0,616.9360748630709,0.5456862027802863,0.4451120786504073,0.0830903968353067,parasitized
C100P61ThinF_IMG_20150918_144348_cell_144.png,12508.0,709.5634918610403,0.5564214330058671,0.331764360866968,0.0868483179056404,parasitized
C100P61ThinF_IMG_20150918_144823_cell_157.png,14001.0,643.9005409571382,0.5006294447225311,0.4202510126580803,0.1042151343943988,parasitized
C100P61ThinF_IMG_20150918_144823_cell_159.png,16063.0,608.350288425444,0.4514234805541494,0.4886025252996042,0.0939649909690009,parasitized
C100P61ThinF_IMG_20150918_144823_cell_160.png,16925.0,662.5929291125633,0.3891095026113387,0.5008550619093518,0.0811285051551171,parasitized
C100P61ThinF_IMG_20150918_144823_cell_161.png,14026.0,735.0193359837562,0.6588502842613669,0.3992316076727311,0.0938704822046389,parasitized
C100P61ThinF_IMG_20150918_144823_cell_162.png,14202.0,611.2081528017131,0.4711128622574708,0.4155509237714829,0.09878956777614,parasitized
C100P61ThinF_IMG_20150918_145042_cell_162.png,15822.0,601.3147545195112,0.2017343783769191,0.4631490747381853,0.0896654767101741,parasitized
C100P61ThinF_IMG_20150918_145042_cell_163.png,14759.0,591.4863273947651,0.34341145885825,0.4132455548588875,0.0877488567923107,parasitized
C100P61ThinF_IMG_20150918_145042_cell_164.png,16179.0,610.2081528017131,0.221273523589768,0.4634522607670878,0.082677972453385,parasitized
C100P61ThinF_IMG_20150918_145042_cell_166.png,12508.0,670.0782104868019,0.5869842607210287,0.3703927479315032,0.1075105194285171,parasitized
C100P61ThinF_IMG_20150918_145042_cell_167.png,16726.0,693.5634918610406,0.4304711773799894,0.4856585762802018,0.078183101753145,parasitized
